"","Tawny-bellied Hermit","Stripe-throated Hermit","White-whiskered Hermit","Gorgeted Sunangel","Brown Inca","Violet-tailed Sylph","Booted Racket-tail","Buff-tailed Coronet","Booted Racketail","Violet-tailed Slyph","Collared Inca","Andean Emerald","Green-crowned Woodnymph","Purple-bibbed Whitetip","Fawn-breasted Brilliant","Wedge-billed Hummingbird","Speckled Hummingbird","Green-fronted Lancebill","Hoary Puffleg","White-necked Jacobin","Green-crowned Brilliant","Rufous-tailed Hummingbird","Sparkling Violetear"
"Mikania websteri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Psammisia ecuadorensis",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drymonia tenuis",0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glossoloma oblongicalyx",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Salvia quitensis",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bomarea multiflora",1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Bomarea pardina",0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Macleania stricta",0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guzmania jaramilloi",1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columnea picta",1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heliconia burleana",6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Renealmia sessilifolia",2,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heliconia griggsiana",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Palicourea acetosoides",0,0,0,0,1,5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
"Mezobromelia capituligera",1,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Drymonia collegarum",5,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Heliconia impudica",1,1,0,0,5,3,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Pitcairnia sodiroi",1,0,0,0,8,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macleania bullata",3,0,0,2,1,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0
"Columnea ciliata",1,14,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columnea mastersonii",7,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centropogon solanifolius",15,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Besleria solanoides",0,0,0,0,0,3,14,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heliconia virginalis",1,5,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"Palicourea lineata",0,0,0,14,0,4,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"Drymonia teuscheri",12,6,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psammisia aberrans",7,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glossoloma purpureum",1,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psammisia sodiroi",0,0,0,27,1,14,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0
"Psammisia ulbrichiana",1,0,1,11,24,4,4,3,0,0,6,0,0,0,2,4,0,1,0,0,0,0,0
"Palicourea demissa",3,20,3,0,3,0,11,10,25,18,0,14,8,8,4,1,0,0,0,4,1,1,1
