"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.146052631578947,0.146052631578947
"web asymmetry",-0.355932203389831,-0.355932203389831
"links per species",1.88135593220339,1.88135593220339
"number of compartments",1,1
"compartment diversity",NA,NA
"cluster coefficient",0.125,0.125
"nestedness",14.2717637451501,14.28296249446
"weighted nestedness",0.501449021013109,0.513276068564735
"weighted NODF",16.4698813279255,16.4698813279255
"interaction strength asymmetry",-0.102632462215105,-0.102632462215105
"specialisation asymmetry",0.0728656728832777,0.0728656728832777
"linkage density",4.54789326703376,4.54789326703376
"weighted connectance",0.0770829367293858,0.0770829367293858
"Fisher alpha",44.7425352860724,44.7425352860724
"Shannon diversity",4.04223535871259,4.04223535871259
"interaction evenness",0.609383583702551,0.609383583702551
"Alatalo interaction evenness",0.600793272237028,0.600793272237028
"H2",0.533587539713395,0.533587539713395
"number.of.species.HL",19,40
"mean.number.of.shared.partners.HL",1.12865497076023,0.625641025641026
"cluster.coefficient.HL",0.272755102040816,0.270247046186896
"weighted.cluster.coefficient.HL",0.370345163712365,0.574832282078142
"niche.overlap.HL",0.149351125300275,0.173225277857332
"togetherness.HL",0.0786581839213418,0.0876495726495727
"C.score.HL",0.618912008683642,0.618915627362056
"V.ratio.HL",5.16873449131514,2.25439904563078
"discrepancy.HL",60,55
"extinction.slope.HL",3.72525232504679,1.98123675759382
"robustness.HL",0.77302012875211,0.661227407861694
"functional.complementarity.HL",294.747648984758,344.281166722928
"partner.diversity.HL",1.60966787902702,1.06670145612084
"generality.HL",5.88214890664796,3.21363762741956
