"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.138198757763975,0.138198757763975
"web asymmetry",-0.0980392156862745,-0.0980392156862745
"links per species",1.74509803921569,1.74509803921569
"number of compartments",2,2
"compartment diversity",1.17991629094756,1.17991629094756
"cluster coefficient",0.107142857142857,0.107142857142857
"nestedness",14.1595477169524,14.2349308457508
"weighted nestedness",0.436488279439543,0.428832864087639
"weighted NODF",14.4192891102558,14.4192891102558
"interaction strength asymmetry",-0.0179663504138482,-0.0179663504138482
"specialisation asymmetry",-0.0216625035123865,-0.0216625035123865
"linkage density",3.68648493470099,3.68648493470099
"weighted connectance",0.0722840183274703,0.0722840183274703
"Fisher alpha",35.6050242413013,35.6050242413013
"Shannon diversity",3.72769826488277,3.72769826488277
"interaction evenness",0.576356200674185,0.576356200674185
"Alatalo interaction evenness",0.512543922004503,0.512543922004503
"H2",0.584301726104604,0.584301726104604
"number.of.species.HL",23,28
"mean.number.of.shared.partners.HL",0.66403162055336,0.626984126984127
"cluster.coefficient.HL",0.218862167982771,0.261415774524798
"weighted.cluster.coefficient.HL",0.476152794762967,0.495056521005568
"niche.overlap.HL",0.132810022679447,0.146634608627861
"togetherness.HL",0.0633019154758285,0.0837962962962963
"C.score.HL",0.699775649069127,0.667218652893256
"V.ratio.HL",3.09987669543773,2.06272680145153
"discrepancy.HL",54,51
"extinction.slope.HL",2.75576568583563,2.37004727434519
"robustness.HL",0.724097750779571,0.695468059640313
"functional.complementarity.HL",301.034766984515,294.161972956191
"partner.diversity.HL",1.14687804056957,1.18608836022901
"generality.HL",3.87956309992342,3.49340676947855
