"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.270833333333333,0.270833333333333
"web asymmetry",0.142857142857143,0.142857142857143
"links per species",0.928571428571429,0.928571428571429
"number of compartments",2,2
"compartment diversity",1.68132107594681,1.68132107594681
"cluster coefficient",0.25,0.25
"nestedness",44.9007714684515,44.9007714684515
"weighted nestedness",-0.0293048141993806,-0.0722114175333834
"weighted NODF",4.65116279069767,4.65116279069767
"interaction strength asymmetry",0.0248511904761905,0.0248511904761905
"specialisation asymmetry",-0.0313771590722583,-0.0313771590722583
"linkage density",1.99027511774555,1.99027511774555
"weighted connectance",0.142162508410396,0.142162508410396
"Fisher alpha",7.30417943585881,7.30417943585881
"Shannon diversity",2.19696910507445,2.19696910507445
"interaction evenness",0.567516152967528,0.567516152967528
"Alatalo interaction evenness",0.755651933991707,0.755651933991707
"H2",0.61083046473967,0.61083046473967
"number.of.species.HL",8,6
"mean.number.of.shared.partners.HL",0.321428571428571,0.4
"cluster.coefficient.HL",0.365740740740741,0.315972222222222
"weighted.cluster.coefficient.HL",0,0
"niche.overlap.HL",0.183980700809443,0.146692389673507
"togetherness.HL",0.138392857142857,0.124444444444444
"C.score.HL",0.74702380952381,0.727777777777778
"V.ratio.HL",0.424657534246575,0.320754716981132
"discrepancy.HL",7,7
"extinction.slope.HL",1.59378480624869,2.22950420432682
"robustness.HL",0.60842520922898,0.689823609610453
"functional.complementarity.HL",32.6603572635227,31.7694660472718
"partner.diversity.HL",0.591659958200827,0.727759872546372
"generality.HL",1.89492757389986,2.08562266159123
