"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.169230769230769,0.169230769230769
"web asymmetry",-0.0714285714285714,-0.0714285714285714
"links per species",1.17857142857143,1.17857142857143
"number of compartments",3,3
"compartment diversity",1.80290815579477,1.80290815579477
"cluster coefficient",0.133333333333333,0.133333333333333
"nestedness",24.9622663735415,24.2127024801563
"weighted nestedness",0.14705174323995,0.140148901105057
"weighted NODF",7.28597449908925,7.28597449908925
"interaction strength asymmetry",0.0140781081866212,0.0140781081866212
"specialisation asymmetry",-0.0527408191049364,-0.0527408191049364
"linkage density",2.44354600063922,2.44354600063922
"weighted connectance",0.0872695000228292,0.0872695000228292
"Fisher alpha",15.7759451960985,15.7759451960985
"Shannon diversity",3.07281670765972,3.07281670765972
"interaction evenness",0.582745489266965,0.582745489266965
"Alatalo interaction evenness",0.692159986066821,0.692159986066821
"H2",0.720812995574484,0.720812995574484
"number.of.species.HL",13,15
"mean.number.of.shared.partners.HL",0.397435897435897,0.371428571428571
"cluster.coefficient.HL",0.191071428571429,0.241758241758242
"weighted.cluster.coefficient.HL",0.240557815223707,0.206879606879607
"niche.overlap.HL",0.12238609536075,0.114289684822391
"togetherness.HL",0.0868298368298368,0.0878306878306878
"C.score.HL",0.767361111111111,0.761640211640212
"V.ratio.HL",1.05988023952096,0.875
"discrepancy.HL",22,19
"extinction.slope.HL",2.22021326541588,1.77828630263043
"robustness.HL",0.685382279425631,0.635953116353073
"functional.complementarity.HL",101.709511077334,95.6650091176638
"partner.diversity.HL",0.717702161279669,0.846617929538776
"generality.HL",2.4235280963486,2.46356390492984
